pin,slack
UART_interface_0/receive_data_0/s_data[3]:ALn,6376
UART_interface_0/receive_data_0/s_data[3]:CLK,8836
UART_interface_0/receive_data_0/s_data[3]:D,8830
UART_interface_0/receive_data_0/s_data[3]:EN,7691
UART_interface_0/receive_data_0/s_data[3]:Q,8836
line_write_read_0/Image_Enhancement_0/s_term1_r[16]:ALn,
line_write_read_0/Image_Enhancement_0/s_term1_r[16]:CLK,6857
line_write_read_0/Image_Enhancement_0/s_term1_r[16]:D,5374
line_write_read_0/Image_Enhancement_0/s_term1_r[16]:EN,5442
line_write_read_0/Image_Enhancement_0/s_term1_r[16]:Q,6857
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPB,
apb3_if_0/dc_o:ALn,6376
apb3_if_0/dc_o:CLK,
apb3_if_0/dc_o:D,7294
apb3_if_0/dc_o:EN,3971
apb3_if_0/dc_o:Q,
UART_interface_0/receive_data_0/s_data[10]:ALn,6376
UART_interface_0/receive_data_0/s_data[10]:CLK,8856
UART_interface_0/receive_data_0/s_data[10]:D,8830
UART_interface_0/receive_data_0/s_data[10]:EN,7691
UART_interface_0/receive_data_0/s_data[10]:Q,8856
dot_osd_integration_0/tracker/glbl_min_y_0_sqmuxa_i_a2_0_4:A,5851
dot_osd_integration_0/tracker/glbl_min_y_0_sqmuxa_i_a2_0_4:B,5807
dot_osd_integration_0/tracker/glbl_min_y_0_sqmuxa_i_a2_0_4:C,5718
dot_osd_integration_0/tracker/glbl_min_y_0_sqmuxa_i_a2_0_4:D,5612
dot_osd_integration_0/tracker/glbl_min_y_0_sqmuxa_i_a2_0_4:Y,5612
line_write_read_0/WRITE_LSRAM_0/s_data[9]:CLK,5440
line_write_read_0/WRITE_LSRAM_0/s_data[9]:D,8850
line_write_read_0/WRITE_LSRAM_0/s_data[9]:EN,6568
line_write_read_0/WRITE_LSRAM_0/s_data[9]:Q,5440
line_write_read_0/WRITE_LSRAM_0/s_data[9]:SLn,7332
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_1:IPA,
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:A,5969
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:B,5920
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:C,5845
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:D,5751
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:Y,5751
dot_osd_integration_0/tracker/col_idx[14]:ALn,
dot_osd_integration_0/tracker/col_idx[14]:CLK,6628
dot_osd_integration_0/tracker/col_idx[14]:D,4363
dot_osd_integration_0/tracker/col_idx[14]:EN,6565
dot_osd_integration_0/tracker/col_idx[14]:Q,6628
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il_RNO[7]:A,7904
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il_RNO[7]:B,7813
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il_RNO[7]:C,6854
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il_RNO[7]:Y,6854
dot_osd_integration_0/overlay/eng/un1_px_15_1.ANB1:A,
dot_osd_integration_0/overlay/eng/un1_px_15_1.ANB1:B,
dot_osd_integration_0/overlay/eng/un1_px_15_1.ANB1:C,
dot_osd_integration_0/overlay/eng/un1_px_15_1.ANB1:D,
dot_osd_integration_0/overlay/eng/un1_px_15_1.ANB1:Y,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[3]:ALn,6376
