@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: MO111 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\osc_c0\osc_c0_0\osc_c0_osc_c0_0_osc.v":20:7:20:16|Tristate driver XTLOSC_O2F (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) on net XTLOSC_O2F (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) has its enable tied to GND.
@N: MO111 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\osc_c0\osc_c0_0\osc_c0_osc_c0_0_osc.v":19:7:19:16|Tristate driver XTLOSC_CCC (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) on net XTLOSC_CCC (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) has its enable tied to GND.
@N: MO111 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\osc_c0\osc_c0_0\osc_c0_osc_c0_0_osc.v":18:7:18:20|Tristate driver RCOSC_1MHZ_O2F (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) on net RCOSC_1MHZ_O2F (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) has its enable tied to GND.
@N: MO111 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\osc_c0\osc_c0_0\osc_c0_osc_c0_0_osc.v":17:7:17:20|Tristate driver RCOSC_1MHZ_CCC (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) on net RCOSC_1MHZ_CCC (in view: work.OSC_C0_OSC_C0_0_OSC(verilog)) has its enable tied to GND.
@N: BN362 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\component\work\coreuart_c0\coreuart_c0_0\rtl\vlog\core_obfuscated\rx_async.v":1339:0:1339:5|Removing sequential instance CUARTI0Il (in view: work.COREUART_C0_COREUART_C0_0_Rx_async_0s_0s_0s_1s_2s_3s(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: FX403 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\ramdualport.vhd":72:9:72:11|Property "block_ram" or "no_rw_check" found for RAM line_write_read_0.ramDualPort_0.ram[15:0] with specified coding style. Inferring block RAM.
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\dot_detector.v":70:4:70:9|Found counter in view:work.dot_detector(verilog) instance cnt_red[15:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\dot_detector.v":70:4:70:9|Found counter in view:work.dot_detector(verilog) instance cnt_grn[15:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\dot_detector.v":70:4:70:9|Found counter in view:work.dot_detector(verilog) instance cnt_blk[15:0] 
@N: MO231 :"e:\finaldestination\doa-main\hf10_ov7725_lcd_ff\hf10_ov7725_lcd_ff\hdl\dot_detector.v":70:4:70:9|Found counter in view:work.dot_detector(verilog) instance col_idx[15:0] 
